Termo;Setor/Área;Explicação Simples;Setor Econômico
Taxa de Ocupação de Leitos UTI;Governo;Monitoramento crítico para gestão hospitalar e crises sanitárias.;Terciário
Taxa de Ocupação de Terminais;Petróleo;Percentual de uso da capacidade de armazenamento de tanques.;Primário (Extração) / Secundário (Refino)
Taxa de Ocupação Hospitalar;Saúde;Percentual de leitos ocupados em relação ao total de leitos operacionais.;Terciário
Taxa de Ocupação Média;Imobiliário;Média de ocupação de um portfólio de imóveis ao longo de um ano.;Terciário
Taxa de Poupança;Macroeconomia;Parcela da renda nacional não consumida, essencial para o investimento.;Terciário (Serviços/Administração)
Taxa de Prenhez;Pecuária;Percentual de fêmeas que emprenharam em relação ao total do lote.;Primário
Taxa de Promoção;Recursos Humanos;Percentual de funcionários promovidos em um período.;Terciário
Taxa de Quebra de Safra;Agricultura;Percentual de perda de produção em relação à estimativa inicial.;Primário
Taxa de Queima de Gás (Flaring);Petróleo;Volume de gás desperdiçado/queimado por falta de infraestrutura de captura.;Primário (Extração) / Secundário (Refino)
Taxa de Reativação;Seguros;Ex-clientes que voltaram a contratar após um período de inatividade.;Terciário
Taxa de Receptividade;Pecuária;Sucesso na implantação de embriões em fêmeas receptoras.;Primário
Taxa de Reclamação da Ouvidoria;Segurança Pública;Métrica de satisfação e conduta ética da força policial.;Terciário
Taxa de Recompra;Indústria de Papel;Frequência com que clientes B2B repetem pedidos de embalagens.;Secundário
Taxa de Recompra;Vendas;Frequência com que os clientes voltam a comprar no mesmo período.;Terciário
Taxa de Reentrega;Logística;Percentual de entregas que falharam na primeira tentativa e precisaram retornar.;Terciário
Taxa de Reiteração;Segurança Pública;Indicador de indivíduos que voltam a cometer crimes após passarem pelo sistema.;Terciário
Taxa de Rejeição (Bounce Rate);Marketing;Percentual de visitantes que saem do site após ver apenas uma página.;Terciário
Taxa de Renovação;Pecuária;Substituição de matrizes velhas por novilhas de reposição.;Primário
Taxa de Renovação de Canavial;Agricultura;(Setor Sucroenergético) Percentual de área replantada anualmente.;Primário
Taxa de Reparo;Seguros;Percentual de sinistros de auto que resultam em conserto versus perda total.;Terciário
Taxa de Retenção;Marketing;Capacidade da marca de manter seus clientes ativos por um tempo.;Terciário
Taxa de Retenção;Mercado Financeiro;Percentual de clientes que permanecem ativos na base após um período.;Terciário
Taxa de Retenção;Recursos Humanos;Percentual de colaboradores que permanecem na empresa em um período.;Terciário
Taxa de Substituição;Pecuária;Custo de repor um animal vendido por um novo animal de reposição.;Primário
Taxa de Superlotação Prisional;Segurança Pública;Relação entre o número de presos e a capacidade projetada da unidade.;Terciário
Taxa de Utilização de Ativos Logísticos;Indústria de Papel;Uso da frota própria vs frota terceirizada.;Secundário
Taxa de Vitimização;Segurança Pública;Percentual da população que sofreu algum crime, independentemente de registro policial.;Terciário
Taxa Selic;Macroeconomia;Taxa básica de juros da economia que influencia o custo de crédito e investimentos.;Terciário (Serviços/Administração)
Taxa Selic;Bolsa de Valores;Taxa básica de juros da economia brasileira, referência para renda fixa.;Terciário
Taxa Variável (VRT);Agricultura;Aplicação de insumos em quantidades diferentes conforme a necessidade de cada ponto do talhão.;Primário
TCH (Toneladas de Cana por Hectare);Agricultura;Métrica de produtividade específica para cana.;Primário
TCO (Total Cost of Ownership);Automobilístico;Custo total de propriedade do veículo (depreciação + manutenção + combustível).;Secundário
Tech Debt (Dívida Técnica);Startups;Custo futuro de re-trabalho causado por escolhas rápidas de desenvolvimento no passado.;Terciário (Majoritariamente)
Technical Support Tickets;Tecnologia;Volume de pedidos de ajuda ou reclamações abertos pelos utilizadores.;Terciário
Telematics Penetration;Automobilístico;Percentual da frota vendida que possui sistemas de conectividade ativos.;Secundário
Telemedicina (Volume e Conversão);Saúde;Dados sobre consultas remotas e quantos desses casos exigiram atendimento presencial.;Terciário
Telemetria;Logística;Dados remotos do veículo (velocidade, frenagem, localização) para análise de performance.;Terciário
Telemetria de Cocho;Pecuária;Dados de sensores que monitoram o tempo de alimentação do gado.;Primário
Tempo de Abertura de Empresas;Governo;Indicador de ambiente de negócios e desburocratização.;Terciário
Tempo de Atendimento de Enfermagem;Saúde;Minutos de cuidado direto dedicados a cada paciente por dia.;Terciário
Tempo de Carga e Descarga;Indústria de Papel;KPI logístico de giro de pátio para caminhões de matéria-prima e produto.;Secundário
Tempo de Carga e Descarga;Supply Chain;KPI que mede a eficiência operacional nas docas.;Terciário
Tempo de Carga/Descarga;Logística;Duração do processo operacional no pátio.;Terciário
Tempo de Ciclo (Seed-to-Harvest);Agricultura;Dias decorridos entre o plantio e a colheita efetiva.;Primário
Tempo de Ciclo de Compras;Indústria de Papel;Tempo gasto para adquirir insumos como químicos e aparas.;Secundário
Tempo de Ciclo de Logística;Petróleo;Tempo total desde a saída do campo até a chegada na refinaria.;Primário (Extração) / Secundário (Refino)
Tempo de Cocho (Eating Time);Pecuária;Minutos por dia que o animal gasta se alimentando.;Primário
Tempo de Downtime Planejado;Indústria de Papel;Paradas para manutenção preventiva ou trocas de vestimentas (feltros/telas).;Secundário
Tempo de Emissão;Seguros;SLA entre o recebimento da proposta e a entrega da apólice ao cliente.;Terciário
Tempo de Resposta (SLA);Segurança Pública;Tempo decorrido entre o chamado no 190 e a chegada da viatura no local.;Terciário
Tempo de Resposta ao Cliente;Indústria de Papel;Agilidade do comercial em responder cotações e dúvidas.;Secundário
Tempo Médio de Atendimento (TMA) Público;Governo;Eficiência operacional em serviços ao cidadão (Ex: emissão de documentos).;Terciário
Tempo Médio de Casa (Tenure);Recursos Humanos;Tempo médio de permanência dos colaboradores na organização.;Terciário
Tempo Médio de Reposição;Supply Chain;Média de tempo para que o estoque volte ao nível ideal após uma venda.;Terciário
Tempo Médio entre Falhas (MTBF);Petróleo;Indicador de confiabilidade de equipamentos críticos como bombas submersas.;Primário (Extração) / Secundário (Refino)
Tenant Mix;Imobiliário;Estratégia de distribuição de tipos de lojistas em um ativo comercial.;Terciário
Test-Drive Conversion Rate;Automobilístico;Percentual de test-drives que se transformam em propostas ou vendas.;Secundário
Teste A/B;Marketing;Comparação entre duas versões de algo para ver qual performa melhor.;Terciário
Teto de Gastos;Governo;Regra fiscal que limita o crescimento das despesas públicas.;Terciário
Throughput;Indústria/TI;Volume de trabalho ou produtos entregues em um período.;Secundário / Terciário
Throughput;Supply Chain;Taxa de saída de produtos ou pedidos em um determinado período.;Terciário
Throughput;Tecnologia;Quantidade de dados ou transações processadas por unidade de tempo.;Terciário
Throughput;Automobilístico;Volume real de veículos produzidos em um período determinado.;Secundário
Throughput (Vazão do Paciente);Saúde;Eficiência do movimento do paciente desde a admissão até a alta.;Terciário
Throughput de Oleoduto;Petróleo;Volume total de produto transportado por uma linha em um período.;Primário (Extração) / Secundário (Refino)
Ticker;Bolsa de Valores;Código de letras e números que identifica um ativo na bolsa (ex: PETR4).;Terciário
Ticket Médio;Varejo;Valor médio gasto por cada cliente em uma transação única.;Terciário
Ticket Médio;Mercado Financeiro;Valor médio das transações ou dos empréstimos realizados em um período.;Terciário
Ticket Médio;Comercial;Valor médio de cada venda realizada.;Terciário
Ticket Médio;Imobiliário;Valor médio de venda por unidade ou m².;Terciário
Ticket Médio B2B;Indústria de Papel;Valor médio das vendas realizadas para distribuidores ou gráficas.;Secundário
Ticket Médio Financeiro;Financeiro;Valor médio de cada transação financeira/faturamento.;Terciário
Ticket Médio por Apólice;Seguros;Valor médio do prêmio por contrato fechado.;Terciário
Ticket Médio por m²;Imobiliário;Indicador de valorização regional (comparativo de mercado).;Terciário
Tier 1 / Tier 2 Suppliers;Automobilístico;Classificação da cadeia de suprimentos (fornecedores diretos vs. indiretos).;Secundário
Tier 1 Capital;Bancário/Fintech;Capital principal do banco (ações ordinárias e reservas de lucros).;Terciário
Tier 1 Process Safety;Petróleo;Indicador de vazamentos de alta gravidade (perda de contenção primária).;Primário (Extração) / Secundário (Refino)
Tiering de Clientes;Vendas;Classificação de clientes em níveis (Ex: Ouro, Prata, Bronze).;Terciário
Tiering de Clientes;Comercial;Classificação de clientes por potencial (ex: Ouro, Prata, Bronze).;Terciário
Time to Credit;Bancário/Fintech;Tempo médio entre a solicitação do empréstimo e o dinheiro na conta.;Terciário
Time to Market;Indústria/Inovação;Tempo decorrido entre a ideia de um produto e seu lançamento.;Secundário / Terciário
Time to Market;Tecnologia;Tempo necessário para transformar uma ideia num produto disponível no mercado.;Terciário
Time to Value (TTV);Startups;Tempo que o cliente leva para perceber o primeiro benefício tangível.;Terciário (Majoritariamente)
Time to Value (TTV);Comercial;Tempo que o cliente leva para perceber valor após a compra.;Terciário
Time to Value (TTV);Bancário/Fintech;Tempo que o cliente leva para perceber benefício após abrir a conta.;Terciário
Time-to-Fill;Recursos Humanos;Dias necessários para preencher uma posição aberta.;Terciário
Time-to-Hire;Recursos Humanos;Tempo total desde a abertura da vaga até a aceitação da oferta.;Terciário
TIR (Taxa Interna de Retorno);Financeiro;Taxa de desconto que torna o VPL de um projeto igual a zero.;Terciário
TIR (Taxa Interna de Retorno);Mercado Financeiro;Taxa de desconto que zera o Valor Presente Líquido (VPL) de um fluxo de caixa.;Terciário
TIR (Taxa Interna de Retorno);Imobiliário;Métrica de rentabilidade de um projeto imobiliário ao longo do tempo.;Terciário
TISS (Troca de Informação na Saúde Suplementar);Saúde;Padrão obrigatório para troca de dados entre prestadores e operadoras.;Terciário
TMS (Transportation Management System);Logística;Software para gestão de transporte e controle de fretes.;Terciário
TMS (Transportation Management System);Supply Chain;Software para gestão de fretes, rotas e transportadoras.;Terciário
Tokenization Rate;Bancário/Fintech;Percentual de cartões digitalizados em carteiras como Apple/Google Pay.;Terciário
Top Line;Financeiro;Refere-se à receita bruta da empresa (primeira linha do DRE).;Terciário
Top Line;Vendas;Refere-se à Receita Bruta, o topo da demonstração de resultados.;Terciário
Top of Funnel (ToFu);Comercial e Vendas;Etapa de aprendizado e descoberta, onde se atrai o maior volume de visitantes.;Terciário
Top of Funnel (ToFu);Marketing;Etapa de aprendizado e descoberta do cliente (Atração).;Terciário
Top of the Funnel (ToFu);Comercial;Topo do funil (fase de aprendizado e descoberta).;Terciário
Torre de Controle (Control Tower);Supply Chain;Hub central de dados para monitoramento e tomada de decisão em tempo real na supply chain.;Terciário
Total Addressable Market (TAM);Comercial e Vendas;Potencial total de receita disponível se a empresa tivesse 100% de market share.;Terciário
Toxicologia (Tempo de Resposta);Segurança Pública;Agilidade em exames de corpo de delito e substâncias.;Terciário
TPV (Total Payment Volume);Bancário/Fintech;Valor total transacionado através da plataforma ou cartões da instituição.;Terciário
Tracking de Carga;Supply Chain;Monitoramento em tempo real do status e localização do transporte.;Terciário
Tracking de Pedidos;Logística;Visualização do status do pedido pelo cliente final.;Terciário
Tracking Error;Mercado Financeiro;Medida da volatilidade da diferença entre o retorno de um fundo e seu benchmark.;Terciário
